"Lp","Cena za 
sztuke","Ilość","Cena","Uwagi","data"
"1","100","0","0","Xxx","21.06.2023"
"2","190","1","190","","21.06.2023"
"3","260","11","2860","","20.06.2023"
"4","14","152","2128","Test","23.06.2023"
"5","10000","5","50000","","01.06.2023"
"6","324","10","3240","","1.06.2023"
"7","62300","3","186900","","10.06.2023"
"1","100","0","0","Xxx","21.06.2023"
"2","190","1","190","","21.06.2023"
"3","260","11","2860","","20.06.2023"
"4","14","152","2128","Test","23.06.2023"
"5","10000","5","50000","","01.06.2023"
"6","324","10","3240","","1.06.2023"
"7","62300","3","186900","","10.06.2023"
"1","100","0","0","Xxx","21.06.2023"
"2","190","1","190","","21.06.2023"
"3","260","11","2860","","20.06.2023"
"4","14","152","2128","Test","23.06.2023"
"5","10000","5","50000","","01.06.2023"
"6","324","10","3240","","1.06.2023"
"7","62300","3","186900","","10.06.2023"
"1","100","0","0","Xxx","21.06.2023"
"2","190","1","190","","21.06.2023"
"3","260","11","2860","","20.06.2023"
"4","14","152","2128","Test","23.06.2023"
"5","10000","5","50000","","01.06.2023"
"6","324","10","3240","","1.06.2023"
"7","62300","3","186900","","10.06.2023"
"1","100","0","0","Xxx","21.06.2023"
"2","190","1","190","","21.06.2023"
"3","260","11","2860","","20.06.2023"
"4","14","152","2128","Test","23.06.2023"
"5","10000","5","50000","","01.06.2023"
"6","324","10","3240","","1.06.2023"
"7","62300","3","186900","","10.06.2023"
