"Ilość nocy:","Zaliczka:","Wpłaty:","","","","","Suma:","Koszt:","Bilans:"
"7","-
            
45 zł-","-
         
250 zł-","","","","","-
  
250 zł-","-
     
197 zł-","-
          
53 zł-"
"7","","-
         
250 zł-","","","","","-
  
250 zł-","-
     
197 zł-","-
          
53 zł-"
"6","","-
         
200 zł-","-
               
20 zł-","","","","-
  
220 zł-","-
     
169 zł-","-
          
51 zł-"
"2","","-
            
80 zł-","","","","","-
    
80 zł-","-
        
56 zł-","-
          
24 zł-"
"7","-
            
45 zł-","-
         
200 zł-","-
               
20 zł-","-30 zł-","","","-
  
250 zł-","-
     
197 zł-","-
          
53 zł-"
"5","-
            
45 zł-","-
         
170 zł-","","","","","-
  
170 zł-","-
     
141 zł-","-
          
29 zł-"
"7","-
            
45 zł-","-
         
200 zł-","-
               
20 zł-","-30 zł-","","","-
  
250 zł-","-
     
197 zł-","-
          
53 zł-"
"2","","-
            
80 zł-","","","","","-
    
80 zł-","-
        
56 zł-","-
          
24 zł-"
"0","","","","","","","-
       
- zł-","-
           
- zł-","-
             
- zł-"
"0","","","","","","","-
       
- zł-","-
           
- zł-","-
             
- zł-"
"7","-
            
45 zł-","-
         
200 zł-","-
               
50 zł-","","","","-
  
250 zł-","-
     
197 zł-","-
          
53 zł-"
"4","-
            
45 zł-","-
         
100 zł-","","","","","-
  
100 zł-","-
     
113 zł-","-
          
13 zł-"
"6","-
            
45 zł-","-
            
95 zł-","-
            
100 zł-","","","","-
  
195 zł-","-
     
169 zł-","-
          
26 zł-"
"7","-
            
45 zł-","-
         
200 zł-","-
               
20 zł-","-30 zł-","","","-
  
250 zł-","-
     
197 zł-","-
          
53 zł-"
"7","-
            
45 zł-","-
         
200 zł-","-
               
50 zł-","","","","-
  
250 zł-","-
     
197 zł-","-
          
53 zł-"
"5","-
            
45 zł-","-
         
100 zł-","-
               
70 zł-","","","","-
  
170 zł-","-
     
141 zł-","-
          
29 zł-"
"7","-
            
50 zł-","-
         
200 zł-","-
               
20 zł-","-30 zł-","","","-
  
250 zł-","-
     
197 zł-","-
          
53 zł-"
"0","","","","","","","-
       
- zł-","-
           
- zł-","-
             
- zł-"
"0","","","","","","","-
       
- zł-","-
           
- zł-","-
             
- zł-"
"","","","","","","","-3 015 zł-","-
  
2 422 zł-","-
       
593 zł-"
