Iloœæ nocy:,Zaliczka:,Wp³aty:,Suma:,Koszt:,Bilans:,,,,
7,-45 z³-,-250 z³-,,,,,-   250 z³-,-197 z³-,-           53 z³-
7,,-250 z³-,,,,,-   250 z³-,-197 z³-,-           53 z³-
6,,-200 z³-,-                20 z³-,,,,-   220 z³-,-169 z³-,-           51 z³-
2,,-             80 z³-,,,,,-80 z³-,-         56 z³-,-           24 z³-
7,-45 z³-,-200 z³-,-                20 z³-,-30 z³-,,,-   250 z³-,-197 z³-,-           53 z³-
5,-45 z³-,-170 z³-,,,,,-   170 z³-,-141 z³-,-           29 z³-
7,-45 z³-,-200 z³-,-                20 z³-,-30 z³-,,,-   250 z³-,-197 z³-,-           53 z³-
2,,-             80 z³-,,,,,-80 z³-,-         56 z³-,-           24 z³-
0,,,,,,,-- z³-,-            - z³-,-              - z³-
0,,,,,,,-- z³-,-            - z³-,-              - z³-
7,-45 z³-,-200 z³-,-                50 z³-,,,,-   250 z³-,-197 z³-,-           53 z³-
4,-45 z³-,-100 z³-,,,,,-   100 z³-,-113 z³-,-           13 z³-
6,-45 z³-,-             95 z³-,-100 z³-,,,,-   195 z³-,-169 z³-,-           26 z³-
7,-45 z³-,-200 z³-,-                20 z³-,-30 z³-,,,-   250 z³-,-197 z³-,-           53 z³-
7,-45 z³-,-200 z³-,-                50 z³-,,,,-   250 z³-,-197 z³-,-           53 z³-
5,-45 z³-,-100 z³-,-                70 z³-,,,,-   170 z³-,-141 z³-,-           29 z³-
7,-50 z³-,-200 z³-,-                20 z³-,-30 z³-,,,-   250 z³-,-197 z³-,-           53 z³-
0,,,,,,,-- z³-,-            - z³-,-              - z³-
0,,,,,,,-- z³-,-            - z³-,-              - z³-
-3 015 z³-,-2 422 z³-,-593 z³-,,,,,,,
